id,change_percentage,index_name,period,price,sector_id,trade_date
2095,0.16292101,AllSharePriceIndex,D,468.2274,1,959191200000
2096,0.08856808,AllSharePriceIndex,W,468.6421,1,959277600000
2097,0.94594574,AllSharePriceIndex,D,473.0752,1,959536800000
2098,0.6370657,AllSharePriceIndex,D,476.089,1,959623200000
2099,0.50931656,AllSharePriceIndex,M,478.5138,1,959709600000
2100,-0.2173814,AllSharePriceIndex,D,477.4736,1,959796000000
2101,0.30083337,AllSharePriceIndex,W,478.91,1,959882400000
2102,-0.058654025,AllSharePriceIndex,D,478.6291,1,960141600000
2103,-0.2787127,AllSharePriceIndex,D,477.2951,1,960228000000
2104,-0.04192375,AllSharePriceIndex,D,477.095,1,960314400000
2105,-0.29214308,AllSharePriceIndex,D,475.7012,1,960400800000
2106,-0.6837696,AllSharePriceIndex,W,472.4485,1,960487200000
2107,0.14846063,AllSharePriceIndex,D,473.1499,1,960746400000
2108,0.869196,AllSharePriceIndex,D,477.2625,1,960832800000
2109,0.32497838,AllSharePriceIndex,D,478.8135,1,960919200000
2110,0.25373137,AllSharePriceIndex,D,480.0284,1,961351200000
2111,0.9897123,AllSharePriceIndex,D,484.7793,1,961437600000
2112,1.8358251,AllSharePriceIndex,D,493.679,1,961524000000
2113,0.73264205,AllSharePriceIndex,D,497.2959,1,961610400000
2114,0.06951596,AllSharePriceIndex,W,497.6416,1,961696800000
2115,-0.24827105,AllSharePriceIndex,D,496.4061,1,961956000000
2116,0.1597281,AllSharePriceIndex,D,497.199,1,962042400000
2117,0.42353263,AllSharePriceIndex,D,499.3048,1,962128800000
2118,-0.11477959,AllSharePriceIndex,D,498.7317,1,962215200000
2119,2.9729812,AllSharePriceIndex,Q,513.5589,1,962301600000
2120,-1.1294128,AllSharePriceIndex,D,507.7587,1,962560800000
2121,-0.15649165,AllSharePriceIndex,D,506.9641,1,962647200000
2122,0.11669465,AllSharePriceIndex,D,507.5557,1,962733600000
2123,0.17651264,AllSharePriceIndex,D,508.4516,1,962820000000
