,symbol,year,voting_div_per_share,close,dividend_yield
377,PARQ,2020,2.65,53.0,5.0
214,PARQ,2021,5.949999999999999,99.7,5.9679037111334
480,PARQ,2022,1.9,48.2,3.941908713692946
540,PARQ,2023,1.3,15.5,8.38709677419355
656,PARQ,2024,0.8,15.7,5.095541401273886
568,PARQ,2025,1.15,40.2,2.8606965174129346
245,PDL,2020,5.0,,
320,PDL,2021,3.5,,
21,PHAR,2020,50.0,850.0,5.88235294117647
663,PINS,2019,0.75,,
575,PINS,2020,1.1,21.8,5.045871559633028
356,PINS,2021,3.0,28.0,10.714285714285714
292,PINS,2022,4.0,40.6,9.852216748768472
599,PKME,2024,1.0,38.7,2.5839793281653747
683,PLC,2019,0.7,,
682,PLC,2023,0.7,5.1,13.725490196078432
681,PLC,2024,0.7,10.2,6.862745098039216
680,PLC,2025,0.7,17.3,4.0462427745664735
737,PLR,2021,0.4,10.8,3.7037037037037033
679,PLR,2022,0.7,12.2,5.737704918032787
602,PLR,2023,1.0,6.8,14.705882352941178
699,PLR,2024,0.6,6.6,9.090909090909092
813,RAL,2019,0.12,,
814,RAL,2020,0.12,3.0,4.0
793,RAL,2022,0.2,5.7,3.508771929824561
710,RCH,2022,0.5,95.0,0.5263157894736842
704,RCH,2023,0.5,70.4,0.7102272727272727
659,RCH,2024,0.75,79.4,0.9445843828715365
357,RCL,2020,3.0,87.3,3.436426116838488
98,RCL,2021,13.7,194.5,7.04370179948586
418,RCL,2022,2.25,81.8,2.7506112469437656
367,RCL,2023,2.9,27.6,10.507246376811594
368,RCL,2024,2.9,26.8,10.820895522388058
601,RCL,2025,1.0,41.7,2.3980815347721824
196,REG,2020,6.25,,
379,REG,2021,2.6,,
439,RENU,2022,2.0,399.25,0.5009392611145899
437,RENU,2023,2.0,360.0,0.5555555555555556
438,RENU,2024,2.0,350.0,0.5714285714285714
65,REXP,2019,24.75,,
57,REXP,2021,25.0,341.25,7.326007326007327
50,REXP,2022,28.0,838.5,3.3392963625521763
37,REXP,2023,35.0,631.5,5.542359461599366
110,REXP,2024,12.0,485.75,2.470406587750901
112,REXP,2025,12.0,402.0,2.9850746268656714
711,RFL,2019,0.5,,
712,RFL,2024,0.5,28.0,1.7857142857142856
771,RHL,2019,0.25,,
769,RHL,2020,0.25,19.0,1.3157894736842104
770,RHL,2020,0.25,12.7,1.968503937007874
826,RHL,2021,0.1,15.7,0.6369426751592357
827,RHL,2021,0.1,11.0,0.9090909090909092
708,RICH,2020,0.5,11.7,4.273504273504273
573,RICH,2021,1.1,15.0,7.333333333333333
561,RICH,2023,1.2,23.6,5.084745762711864
696,RICH,2024,0.6,22.0,2.727272727272727
685,RICH,2025,0.7,25.6,2.7343749999999996
816,RIL,2020,0.1,6.1,1.639344262295082
801,RIL,2021,0.15,8.5,1.7647058823529411
792,RIL,2022,0.2,14.8,1.3513513513513513
788,RIL,2024,0.2,5.1,3.921568627450981
603,RPBH,2019,1.0,,
832,RWSL,2019,0.05,,
825,RWSL,2020,0.1,2.7,3.7037037037037033
818,RWSL,2021,0.1,7.0,1.4285714285714286
803,RWSL,2022,0.15,8.6,1.744186046511628
785,RWSL,2023,0.2,5.8,3.4482758620689653
802,RWSL,2024,0.15,6.1,2.459016393442623
116,SAMP,2020,11.75,161.4,7.2800495662949185
843,SAMP,2021,0.0,142.0,0.0
288,SAMP,2022,4.25,53.0,8.018867924528301
331,SAMP,2023,3.45,33.8,10.207100591715976
215,SAMP,2024,5.85,69.1,8.465991316931982
143,SAMP,2025,9.35,117.25,7.974413646055437
844,SDB,2020,0.0,63.9,0.0
417,SDB,2021,2.25,56.1,4.010695187165775
509,SDB,2022,1.5,42.3,3.546099290780142
638,SDF,2022,1.0,20.2,4.9504950495049505
667,SDF,2023,0.75,10.2,7.352941176470589
688,SDF,2025,0.65,19.2,3.385416666666667
142,SELI,2021,9.5,,
634,SEYB,2020,1.0,52.3,1.9120458891013385
635,SEYB,2020,1.0,33.4,2.9940119760479043
640,SEYB,2024,1.0,44.5,2.247191011235955
641,SEYB,2024,1.0,33.8,2.9585798816568047
318,SEYB,2025,3.5,80.1,4.369538077403246
319,SEYB,2025,3.5,58.9,5.942275042444821
740,SFCL,2019,0.35,,
566,SFCL,2021,1.16,135.5,0.8560885608856088
533,SFCL,2022,1.4,885.5,0.15810276679841898
689,SFCL,2023,0.65,363.75,0.17869415807560138
481,SFCL,2024,1.8,379.75,0.4739960500329164
655,SFIN,2021,0.8,14.5,5.517241379310345
654,SFIN,2022,0.8,18.6,4.301075268817204
653,SFIN,2023,0.8,9.6,8.333333333333334
149,SHAL,2021,8.9,,
629,SHAW,2019,1.0,,
628,SHAW,2020,1.0,76.0,1.3157894736842104
627,SHAW,2021,1.0,76.8,1.3020833333333335
