,symbol,year,voting_div_per_share,close,dividend_yield
695,BUKI,2020,0.6,230.1,0.2607561929595828
585,BUKI,2021,1.0,345.25,0.2896451846488052
577,BUKI,2022,1.1,410.75,0.267802799756543
482,BUKI,2023,1.8,282.5,0.6371681415929203
122,BUKI,2024,10.68,390.0,2.738461538461538
594,CABO,2022,1.0,71.8,1.392757660167131
593,CABO,2023,1.0,45.2,2.2123893805309733
588,CABO,2024,1.0,48.0,2.083333333333333
343,CALT,2023,3.04,29.1,10.446735395189002
55,CALT,2024,25.5,53.6,47.57462686567165
473,CARE,2021,2.0,36.4,5.4945054945054945
165,CARE,2022,8.0,45.0,17.77777777777778
219,CARE,2023,5.5,58.2,9.450171821305842
466,CARE,2024,2.0,46.0,4.3478260869565215
204,CARG,2019,6.0,,
227,CARG,2020,5.1,193.0,2.642487046632124
197,CARG,2021,6.1,214.75,2.840512223515716
153,CARG,2022,8.5,210.0,4.0476190476190474
103,CARG,2023,13.0,226.75,5.733186328555679
84,CARG,2024,15.3,340.5,4.493392070484582
665,CARS,2019,0.75,,
660,CARS,2020,0.75,190.0,0.39473684210526316
524,CARS,2021,1.5,283.75,0.5286343612334802
525,CARS,2022,1.5,298.75,0.502092050209205
428,CARS,2023,2.1,257.0,0.8171206225680935
152,CARS,2024,8.54,248.5,3.4366197183098586
67,CCS,2020,20.5,777.8,2.6356389817433787
105,CCS,2021,12.5,701.0,1.783166904422254
570,CCS,2022,1.1300000000000001,526.5,0.21462488129154797
542,CCS,2023,1.3,36.8,3.5326086956521743
289,CCS,2024,4.211,42.0,10.026190476190477
496,CCS,2025,1.51,82.5,1.8303030303030303
840,CDB,2019,0.0,,
177,CDB,2021,7.5,90.0,8.333333333333332
178,CDB,2021,7.5,67.5,11.11111111111111
310,CDB,2022,3.75,168.0,2.232142857142857
311,CDB,2022,3.75,93.0,4.032258064516129
230,CDB,2023,5.0,200.0,2.5
231,CDB,2023,5.0,52.3,9.560229445506693
114,CDB,2024,12.0,200.0,6.0
115,CDB,2024,12.0,78.7,15.247776365946633
422,CERA,2021,2.2,137.1,1.604668125455872
845,CERA,2022,0.0,154.5,0.0
313,CERA,2024,3.7,99.8,3.707414829659319
560,CFIN,2019,1.2,,
308,CFIN,2021,3.8,83.4,4.5563549160671455
282,CFIN,2022,4.5,97.2,4.62962962962963
286,CFIN,2023,4.25,60.6,7.013201320132014
190,CFIN,2024,6.75,99.5,6.78391959798995
773,CFLB,2023,0.25,28.0,0.8928571428571428
293,CFVF,2019,4.0,,
261,CFVF,2020,5.0,39.7,12.594458438287154
260,CFVF,2021,5.0,57.6,8.680555555555555
93,CFVF,2023,14.5,34.7,41.78674351585014
246,CFVF,2024,5.0,27.9,17.921146953405017
173,CFVF,2025,7.5,37.5,20.0
424,CHL,2020,2.2,73.4,2.997275204359673
425,CHL,2020,2.2,68.0,3.2352941176470593
339,CHL,2021,3.2,115.5,2.7705627705627704
340,CHL,2021,3.2,102.7,3.11587147030185
250,CHL,2022,5.0,166.0,3.0120481927710845
251,CHL,2022,5.0,140.0,3.571428571428571
409,CHL,2023,2.3,135.75,1.6942909760589315
410,CHL,2023,2.3,110.0,2.090909090909091
449,CHL,2024,2.0,120.0,1.6666666666666667
450,CHL,2024,2.0,100.0,2.0
475,CHMX,2020,2.0,58.7,3.4071550255536627
609,CHMX,2021,1.0,87.3,1.1454753722794961
432,CHMX,2022,2.0,90.3,2.2148394241417497
382,CHMX,2023,2.5,86.0,2.9069767441860463
394,CHMX,2024,2.5,69.9,3.5765379113018594
468,CIC,2020,2.0,58.9,3.395585738539898
469,CIC,2020,2.0,46.5,4.301075268817205
336,CIC,2021,3.25,185.3,1.7539125742039936
337,CIC,2021,3.25,155.6,2.0886889460154245
612,CIC,2022,1.0,67.9,1.4727540500736376
613,CIC,2022,1.0,51.1,1.9569471624266144
399,CIC,2023,2.5,81.4,3.071253071253071
400,CIC,2023,2.5,55.0,4.545454545454546
387,CIC,2024,2.5,63.0,3.968253968253968
388,CIC,2024,2.5,43.9,5.694760820045558
835,CIND,2019,0.0,,
451,CIND,2020,2.0,52.6,3.802281368821293
452,CIND,2021,2.0,125.25,1.5968063872255487
345,CIND,2023,3.0,58.2,5.154639175257731
211,CIND,2024,6.0,86.5,6.9364161849710975
32,CINS,2020,38.0,1986.9,1.9125270521918567
33,CINS,2020,38.0,840.0,4.523809523809524
29,CINS,2021,40.0,2000.4,1.999600079984003
30,CINS,2021,40.0,1021.4,3.9161934599569217
26,CINS,2022,42.0,2201.0,1.9082235347569285
27,CINS,2022,42.0,1250.0,3.36
24,CINS,2023,45.0,2100.25,2.142602071182002
25,CINS,2023,45.0,1124.5,4.001778568252556
22,CINS,2024,48.0,2450.0,1.9591836734693877
23,CINS,2024,48.0,820.0,5.853658536585367
775,CINV,2020,0.25,51.1,0.4892367906066536
684,CINV,2021,0.7,73.6,0.9510869565217392
672,CINV,2022,0.75,53.8,1.3940520446096656
703,CINV,2023,0.55,30.0,1.8333333333333333
676,CINV,2024,0.72,44.4,1.6216216216216217
742,COCO,2019,0.35,,
744,COCO,2020,0.35,18.2,1.9230769230769231
745,COCO,2020,0.35,12.4,2.82258064516129
731,COCO,2022,0.41,24.2,1.6942148760330578
732,COCO,2022,0.41,17.4,2.3563218390804597
642,COCR,2019,1.0,,
530,COCR,2021,1.5,23.4,6.4102564102564115
348,COCR,2022,3.0,43.2,6.944444444444444
597,COCR,2023,1.0,23.0,4.3478260869565215
294,COCR,2024,4.0,29.1,13.745704467353951
436,COLO,2019,2.0,,
242,COLO,2021,5.0,93.5,5.347593582887701
241,COLO,2022,5.0,147.0,3.4013605442176873
244,COLO,2023,5.0,67.3,7.429420505200595
243,COLO,2024,5.0,78.1,6.402048655569782
523,COMB,2019,1.5,,
354,COMB,2020,3.0,95.0,3.1578947368421053
355,COMB,2020,3.0,83.1,3.6101083032490973
276,COMB,2021,4.5,82.4,5.461165048543689
277,COMB,2021,4.5,73.3,6.139154160982265
269,COMB,2022,4.5,79.8,5.639097744360902
270,COMB,2022,4.5,72.9,6.172839506172839
271,COMB,2024,4.5,91.5,4.918032786885246
272,COMB,2024,4.5,79.2,5.681818181818182
174,COMB,2025,7.5,141.75,5.291005291005291
175,COMB,2025,7.5,112.75,6.651884700665188
433,COMD,2019,2.0,,
127,COMD,2020,10.0,78.6,12.72264631043257
212,COMD,2021,6.0,116.25,5.161290322580645
186,COMD,2022,7.0,139.0,5.0359712230215825
181,COMD,2023,7.0,92.1,7.600434310532031
185,COMD,2024,7.0,100.25,6.982543640897755
303,COMD,2025,4.0,137.5,2.909090909090909
761,COOP,2022,0.27,7.0,3.8571428571428577
817,COOP,2024,0.1,2.5,4.0
572,CSD,2020,1.1,11.5,9.565217391304348
559,CSD,2021,1.2,16.0,7.5
536,CSD,2022,1.4,20.0,6.999999999999999
562,CSD,2023,1.2,11.9,10.084033613445378
586,CSD,2024,1.0,14.1,7.092198581560284
574,CSD,2025,1.1,24.4,4.508196721311476
829,CTBL,2020,0.08,3.5,2.2857142857142856
746,CTBL,2021,0.35,4.1,8.536585365853659
739,CTBL,2022,0.36,4.3,8.372093023255815
686,CTBL,2023,0.68,4.2,16.19047619047619
728,CTBL,2024,0.44,4.2,10.476190476190476
12,CTC,2019,61.0,,
5,CTC,2020,83.63,1095.0,7.637442922374429
11,CTC,2021,64.35,1131.5,5.6871409633230225
48,CTC,2022,29.0,883.25,3.2833286159071613
1,CTC,2023,178.1,613.25,29.04198940073379
2,CTC,2024,161.74,1015.0,15.93497536945813
47,CTC,2025,29.1,1400.0,2.0785714285714287
35,CTEA,2019,35.0,,
253,CTEA,2020,5.0,568.3,0.8798169980644027
39,CTEA,2021,33.0,688.6,4.792332268370607
10,CTEA,2022,65.0,887.5,7.323943661971831
20,CTEA,2023,50.0,1157.75,4.318721658389117
77,CTEA,2024,18.0,985.0,1.8274111675126905
314,CTHR,2019,3.7,,
287,CTHR,2020,4.25,168.0,2.5297619047619047
283,CTHR,2021,4.45,161.0,2.7639751552795033
223,CTHR,2022,5.45,170.0,3.2058823529411766
140,CTHR,2023,9.5,175.0,5.428571428571429
106,CTHR,2024,12.5,270.0,4.62962962962963
420,CTLD,2019,2.25,,
841,CTLD,2020,0.0,30.0,0.0
787,CWL,2022,0.2,21.5,0.9302325581395349
187,CWM,2021,7.0,49.0,14.285714285714285
128,CWM,2022,10.0,67.9,14.727540500736374
111,CWM,2023,12.0,81.0,14.814814814814813
166,CWM,2024,8.0,86.0,9.30232558139535
248,DFCC,2020,5.0,89.0,5.617977528089887
358,DFCC,2024,3.0,77.1,3.8910505836575875
295,DFCC,2025,4.0,111.0,3.6036036036036037
842,DIAL,2020,0.0,12.8,0.0
674,DIAL,2021,0.74,12.6,5.873015873015873
557,DIAL,2022,1.24,10.8,11.48148148148148
374,DIAL,2024,2.68,8.8,30.454545454545457
611,DIAL,2025,1.0,11.8,8.47457627118644
92,DIMO,2021,15.0,594.75,2.5220680958385877
107,DIMO,2022,12.5,848.5,1.473187978786093
123,DIMO,2023,10.0,586.25,1.7057569296375266
125,DIMO,2024,10.0,508.0,1.968503937007874
477,DIPD,2019,2.0,,
85,DIPD,2020,15.0,85.0,17.647058823529413
363,DIPD,2021,3.0,340.0,0.8823529411764706
366,DIPD,2022,2.9,51.9,5.5876685934489405
381,DIPD,2023,2.6,29.0,8.96551724137931
543,DIPD,2024,1.3,27.7,4.693140794223827
532,DIST,2019,1.4500000000000002,,
645,DIST,2020,0.97,18.0,5.388888888888889
495,DIST,2021,1.56,22.9,6.812227074235809
484,DIST,2022,1.7999999999999998,18.7,9.62566844919786
285,DIST,2023,4.28,12.9,33.17829457364341
403,DIST,2024,2.4,27.5,8.727272727272727
630,DIST,2025,1.0,39.0,2.564102564102564
631,DOCK,2022,1.0,77.2,1.2953367875647668
109,EBCR,2019,12.0,,
76,EBCR,2020,18.0,1199.5,1.5006252605252188
624,EBCR,2021,1.0,3136.0,0.03188775510204082
511,EBCR,2022,1.5,26.2,5.7251908396946565
513,EBCR,2024,1.5,22.7,6.607929515418502
512,EBCR,2025,1.5,32.6,4.601226993865031
550,ELPL,2019,1.25,,
668,ELPL,2020,0.75,18.9,3.968253968253969
442,ELPL,2021,2.0,46.0,4.3478260869565215
