id,agm,announcement_category,anu_category_id,approved_date,company,created_date,date_of_announcement,final_dividend,first_and_final,group_key,is_new,non_voting_div_per_share,payment,record_date,remarks,sec_id,symbol,type_first_int,type_fourth_int,type_other,type_second_int,type_third_int,voting_div_per_share,xc,xd
9294,30-06-2021,CASH DIVIDEND,5,1617615934577,AGSTAR PLC,05-04-2021 03:15:34 PM,05-04-2021,true,false,CASH DIVIDEND,true,0.2,19-07-2021,,Final dividend for the Financial year 2020/2021,1121,AGST,false,false,false,false,false,0.2,,01-07-2021
9343,,CASH DIVIDEND,5,1617855101626,THREE ACRE FARMS PLC,08-04-2021 09:41:41 AM,08-04-2021,true,false,CASH DIVIDEND,true,,04-05-2021,,,491,TAFL,false,false,false,false,false,5.5,,21-04-2021
9344,,CASH DIVIDEND,5,1617855201814,CEYLON GRAIN ELEVATORS PLC,08-04-2021 09:43:21 AM,08-04-2021,true,false,CASH DIVIDEND,true,,04-05-2021,,,671,GRAN,false,false,false,false,false,4.5,,21-04-2021
9487,10-06-2021,CASH DIVIDEND,5,1619520812563,UNION CHEMICALS LANKA PLC,27-04-2021 04:23:32 PM,27-04-2021,true,false,CASH DIVIDEND,true,,02-07-2021,,"FINAL DIVIDEND OF RS.14.00 PER SHARE FOR THE YEAR ENDED 25TH DECEMBER, 2020",500,UCAR,false,false,false,false,false,14,,11-06-2021
9490,,CASH DIVIDEND,5,1619526163226,CEYLINCO INSURANCE PLC,27-04-2021 05:52:43 PM,27-04-2021,false,false,CASH DIVIDEND,true,40,18-05-2021,,,367,CINS,true,false,false,false,false,40,,06-05-2021
9515,09-06-2021,CASH DIVIDEND,5,1619698599571,PROPERTY DEVELOPMENT PLC,29-04-2021 05:46:39 PM,29-04-2021,false,true,CASH DIVIDEND,true,,01-07-2021,,,629,PDL,false,false,false,false,false,3.5,,10-06-2021
9535,,CASH DIVIDEND,5,1620035339602,HARISCHANDRA MILLS PLC,03-05-2021 03:18:59 PM,03-05-2021,false,false,CASH DIVIDEND,true,,01-06-2021,,,482,HARI,true,false,false,false,false,20,,12-05-2021
9539,28-05-2021,CASH DIVIDEND,5,1620037042264,SANASA DEVELOPMENT BANK PLC,03-05-2021 03:47:22 PM,03-05-2021,false,true,CASH DIVIDEND,true,,18-06-2021,,Cash Dividend FY 2020,1182,SDB,false,false,false,false,false,2.25,,31-05-2021
9585,29-06-2021,CASH DIVIDEND,5,1620640338078,ALUMEX PLC,10-05-2021 03:22:18 PM,10-05-2021,true,false,CASH DIVIDEND,true,0,08-07-2021,,,1323,ALUM,false,false,false,false,false,0.1,,30-06-2021
9598,,CASH DIVIDEND,5,1620710916158,VIDULLANKA PLC,11-05-2021 10:58:36 AM,11-05-2021,false,false,CASH DIVIDEND,true,0,14-06-2021,,,455,VLL,true,false,false,false,false,0.125,,21-05-2021
