Month,2016,2017*,% Cha. 2016/17
January,"194,280","219,360",12.9
February,"197,697","197,517",-0.1
March,"192,841","188,076",-2.5
April,"136,367","160,249",17.5
May,"125,044","121,891",-2.5
June,"118,038","123,351",4.5
July,"209,351","205,482",-1.8
August,"186,288","190,928",2.5
September,"148,499","145,077",-2.3
October,"150,419","152,429",1.3
November,"167,217","167,511",0.2
December,"224,791","244,536",8.8
Total,"2,050,832","2,116,407",3.2
